	Locus	snp_50bp
0	18S	1.5176151761517616
0	ITS1	2.579365079365079
0	5.8S	2.287581699346405
0	ITS2	3.9408866995073892
0	28S	1.4014598540145984
0	18S	0.6775832862789385
0	ITS1	3.0232558139534884
0	5.8S	2.631578947368421
0	ITS2	4.263565891472868
0	28S	0.8808147536471236
0	18S	0.11441647597254005
0	ITS1	0.7163323782234957
0	5.8S	1.2738853503184715
0	ITS2	1.282051282051282
0	28S	0.0717772035601493
0	18S	0.7622811970638058
0	ITS1	2.558139534883721
0	5.8S	2.631578947368421
0	ITS2	4.651162790697675
0	28S	0.990916597853014
0	18S	0.7622811970638058
0	ITS1	2.558139534883721
0	5.8S	2.631578947368421
0	ITS2	4.651162790697675
0	28S	0.990916597853014
