	Nematode	Locus	snp_50bp
0	RreniWGA	18S	1.5176151761517616
0	RreniWGA	ITS1	2.579365079365079
0	RreniWGA	5.8S	2.287581699346405
0	RreniWGA	ITS2	3.9408866995073892
0	RreniWGA	28S	1.4014598540145984
0	MincHarC	18S	0.6775832862789385
0	MincHarC	ITS1	3.0232558139534884
0	MincHarC	5.8S	2.631578947368421
0	MincHarC	ITS2	4.263565891472868
0	MincHarC	28S	0.8808147536471236
0	Ananu	18S	0.11441647597254005
0	Ananu	ITS1	0.7163323782234957
0	Ananu	5.8S	1.2738853503184715
0	Ananu	ITS2	1.282051282051282
0	Ananu	28S	0.0717772035601493
0	MincL19	18S	0.7622811970638058
0	MincL19	ITS1	2.558139534883721
0	MincL19	5.8S	2.631578947368421
0	MincL19	ITS2	4.651162790697675
0	MincL19	28S	0.990916597853014
0	HbactGebreg2a1223	18S	0.0
0	HbactGebreg2a1223	ITS1	0.0
0	HbactGebreg2a1223	5.8S	0.0
0	HbactGebreg2a1223	ITS2	0.0
0	HbactGebreg2a1223	28S	0.0
0	GrostSC	18S	0.05694760820045558
0	GrostSC	ITS1	0.4752851711026616
0	GrostSC	5.8S	0.3144654088050315
0	GrostSC	ITS2	0.9523809523809524
0	GrostSC	28S	0.7444168734491315
0	GrostS00138A	18S	0.08542141230068337
0	GrostS00138A	ITS1	0.4752851711026616
0	GrostS00138A	5.8S	0.3144654088050315
0	GrostS00138A	ITS2	1.6666666666666667
0	GrostS00138A	28S	0.7621410847217299
0	MincA14	18S	0.7058159232072276
0	MincA14	ITS1	2.558139534883721
0	MincA14	5.8S	2.9605263157894735
0	MincA14	ITS2	4.263565891472868
0	MincA14	28S	0.8945774841728599
0	GrostS00138D	18S	0.08542141230068337
0	GrostS00138D	ITS1	0.38022813688212925
0	GrostS00138D	5.8S	0.3144654088050315
0	GrostS00138D	ITS2	1.6666666666666667
0	GrostS00138D	28S	0.7798652959943283
0	MincVW6	18S	0.7058159232072276
0	MincVW6	ITS1	2.558139534883721
0	MincVW6	5.8S	2.9605263157894735
0	MincVW6	ITS2	3.10077519379845
0	MincVW6	28S	0.9221029452243324
0	MincW1	18S	0.7058159232072276
0	MincW1	ITS1	2.7906976744186047
0	MincW1	5.8S	2.9605263157894735
0	MincW1	ITS2	3.10077519379845
0	MincW1	28S	0.9496284062758051
0	Minc557R	18S	0.7058159232072276
0	Minc557R	ITS1	2.7906976744186047
0	Minc557R	5.8S	2.9605263157894735
0	Minc557R	ITS2	4.651162790697675
0	Minc557R	28S	0.9221029452243324
0	MincL27	18S	0.7340485601355167
0	MincL27	ITS1	2.3255813953488373
0	MincL27	5.8S	2.9605263157894735
0	MincL27	ITS2	3.488372093023256
0	MincL27	28S	0.9221029452243324
0	MincL9	18S	0.6493506493506493
0	MincL9	ITS1	2.3255813953488373
0	MincL9	5.8S	2.631578947368421
0	MincL9	ITS2	3.875968992248062
0	MincL9	28S	0.8808147536471236
0	RreniMP	18S	1.6260162601626018
0	RreniMP	ITS1	2.876984126984127
0	RreniMP	5.8S	2.287581699346405
0	RreniMP	ITS2	3.201970443349754
0	RreniMP	28S	1.4452554744525548
0	GrostS001385	18S	0.05694760820045558
0	GrostS001385	ITS1	0.38022813688212925
0	GrostS001385	5.8S	0.3144654088050315
0	GrostS001385	ITS2	0.9523809523809524
0	GrostS001385	28S	0.8153137185395251
