	Locus	snp_50bp
0	18S	1.5176151761517616
0	ITS1	2.579365079365079
0	5.8S	2.287581699346405
0	ITS2	3.9408866995073892
0	28S	1.4634146341463417
0	18S	0.55817947617003
0	ITS1	2.4271844660194173
0	5.8S	2.8662420382165608
0	ITS2	4.166666666666666
0	28S	0.9173055859802848
0	18S	0.11441647597254005
0	ITS1	0.7163323782234957
0	5.8S	1.2738853503184715
0	ITS2	1.282051282051282
0	28S	0.0717772035601493
0	18S	0.579647917561185
0	ITS1	2.669902912621359
0	5.8S	2.547770700636943
0	ITS2	5.555555555555555
0	28S	0.9857612267250823
0	18S	0.579647917561185
0	ITS1	2.669902912621359
0	5.8S	2.547770700636943
0	ITS2	5.555555555555555
0	28S	0.9857612267250823
